"Index","CMCSA.Close"
"2010-01-04",8.485
"2010-01-05",8.37
"2010-01-06",8.31
"2010-01-07",8.485
"2010-01-08",8.46
"2010-01-11",8.405
"2010-01-12",8.255
"2010-01-13",8.385
"2010-01-14",8.335
"2010-01-15",8.315
"2010-01-19",8.405
"2010-01-20",8.26
"2010-01-21",8
"2010-01-22",7.925
"2010-01-25",8.005
"2010-01-26",7.85
"2010-01-27",7.925
"2010-01-28",7.81
"2010-01-29",7.915
"2010-02-01",7.97
"2010-02-02",8.145
"2010-02-03",7.985
"2010-02-04",7.76
"2010-02-05",7.71
"2010-02-08",7.605
"2010-02-09",7.695
"2010-02-10",7.655
"2010-02-11",7.665
"2010-02-12",7.67
"2010-02-16",7.835
"2010-02-17",7.83
"2010-02-18",7.865
"2010-02-19",8
"2010-02-22",8.095
"2010-02-23",8.07
"2010-02-24",8.21
"2010-02-25",8.07
"2010-02-26",8.22
"2010-03-01",8.415
"2010-03-02",8.4
"2010-03-03",8.48
"2010-03-04",8.585
"2010-03-05",8.715
"2010-03-08",8.78
"2010-03-09",8.755
"2010-03-10",8.765
"2010-03-11",8.785
"2010-03-12",8.71
"2010-03-15",8.765
"2010-03-16",8.745
"2010-03-17",8.79
"2010-03-18",8.835
"2010-03-19",8.765
"2010-03-22",8.89
"2010-03-23",9.045
"2010-03-24",9.09
"2010-03-25",9.22
"2010-03-26",9.17
"2010-03-29",9.25
"2010-03-30",9.37
"2010-03-31",9.415
"2010-04-01",9.43
"2010-04-05",9.41
"2010-04-06",9.38
"2010-04-07",9.145
"2010-04-08",9.215
"2010-04-09",9.25
"2010-04-12",9.315
"2010-04-13",9.335
"2010-04-14",9.465
"2010-04-15",9.43
"2010-04-16",9.16
"2010-04-19",9.29
"2010-04-20",9.27
"2010-04-21",9.265
"2010-04-22",9.4
"2010-04-23",9.48
"2010-04-26",9.54
"2010-04-27",9.23
"2010-04-28",9.405
"2010-04-29",10
"2010-04-30",9.885
"2010-05-03",10.195
"2010-05-04",9.935
"2010-05-05",9.87
"2010-05-06",9.255
"2010-05-07",9.18
"2010-05-10",9.015
"2010-05-11",9.04
"2010-05-12",9.09
"2010-05-13",8.88
"2010-05-14",8.8
"2010-05-17",9.05
"2010-05-18",8.845
"2010-05-19",8.79
"2010-05-20",8.395
"2010-05-21",8.515
"2010-05-24",8.385
"2010-05-25",8.835
"2010-05-26",8.86
"2010-05-27",9.165
"2010-05-28",9.045
"2010-06-01",9.01
"2010-06-02",9.19
"2010-06-03",9.2
"2010-06-04",8.895
"2010-06-07",8.68
"2010-06-08",8.715
"2010-06-09",8.71
"2010-06-10",9.035
"2010-06-11",9.095
"2010-06-14",9.075
"2010-06-15",9.325
"2010-06-16",9.195
"2010-06-17",9.29
"2010-06-18",9.255
"2010-06-21",9.175
"2010-06-22",9.12
"2010-06-23",9.09
"2010-06-24",8.91
"2010-06-25",8.835
"2010-06-28",9.055
"2010-06-29",8.84
"2010-06-30",8.685
"2010-07-01",8.87
"2010-07-02",8.73
"2010-07-06",8.9
"2010-07-07",8.92
"2010-07-08",8.92
"2010-07-09",9.035
"2010-07-12",9.255
"2010-07-13",9.51
"2010-07-14",9.49
"2010-07-15",9.655
"2010-07-16",9.27
"2010-07-19",9.505
"2010-07-20",9.43
"2010-07-21",9.175
"2010-07-22",9.41
"2010-07-23",9.66
"2010-07-26",9.735
"2010-07-27",9.665
"2010-07-28",9.78
"2010-07-29",9.565
"2010-07-30",9.735
"2010-08-02",9.74
"2010-08-03",9.605
"2010-08-04",9.615
"2010-08-05",9.47
"2010-08-06",9.32
"2010-08-09",9.365
"2010-08-10",9.305
"2010-08-11",9.005
"2010-08-12",9.085
"2010-08-13",8.935
"2010-08-16",8.875
"2010-08-17",8.88
"2010-08-18",9.055
"2010-08-19",8.92
"2010-08-20",8.905
"2010-08-23",8.725
"2010-08-24",8.505
"2010-08-25",8.665
"2010-08-26",8.515
"2010-08-27",8.625
"2010-08-30",8.5
"2010-08-31",8.55
"2010-09-01",8.97
"2010-09-02",9.04
"2010-09-03",9.105
"2010-09-07",8.9
"2010-09-08",8.96
"2010-09-09",8.99
"2010-09-10",9.2
"2010-09-13",9.21
"2010-09-14",8.895
"2010-09-15",9.02
"2010-09-16",8.785
"2010-09-17",8.82
"2010-09-20",9.05
"2010-09-21",9.065
"2010-09-22",8.975
"2010-09-23",8.96
"2010-09-24",9.285
"2010-09-27",9.155
"2010-09-28",9.17
"2010-09-29",9.075
"2010-09-30",9.04
"2010-10-01",8.91
"2010-10-04",8.83
"2010-10-05",9.035
"2010-10-06",8.88
"2010-10-07",8.945
"2010-10-08",8.995
"2010-10-11",9.01
"2010-10-12",9.01
"2010-10-13",9.07
"2010-10-14",9.19
"2010-10-15",9.475
"2010-10-18",9.505
"2010-10-19",9.555
"2010-10-20",9.69
"2010-10-21",9.755
"2010-10-22",9.73
"2010-10-25",9.885
"2010-10-26",9.82
"2010-10-27",10.135
"2010-10-28",10.43
"2010-10-29",10.315
"2010-11-01",10.25
"2010-11-02",10.34
"2010-11-03",10.335
"2010-11-04",10.53
"2010-11-05",10.52
"2010-11-08",10.455
"2010-11-09",10.385
"2010-11-10",10.365
"2010-11-11",10.34
"2010-11-12",10.215
"2010-11-15",10.295
"2010-11-16",10.13
"2010-11-17",10.195
"2010-11-18",10.285
"2010-11-19",10.28
"2010-11-22",10.2
"2010-11-23",10.075
"2010-11-24",10.19
"2010-11-26",10.11
"2010-11-29",10.105
"2010-11-30",10.02
"2010-12-01",10.415
"2010-12-02",10.36
"2010-12-03",10.355
"2010-12-06",10.3
"2010-12-07",10.395
"2010-12-08",10.395
"2010-12-09",10.425
"2010-12-10",10.655
"2010-12-13",10.66
"2010-12-14",10.995
"2010-12-15",10.805
"2010-12-16",10.825
"2010-12-17",10.71
"2010-12-20",10.965
"2010-12-21",11.125
"2010-12-22",11.1
"2010-12-23",11.09
"2010-12-27",11.05
"2010-12-28",11.04
"2010-12-29",10.975
"2010-12-30",11.04
"2010-12-31",10.985
"2011-01-03",11.185
"2011-01-04",11.22
"2011-01-05",11.37
"2011-01-06",11.38
"2011-01-07",11.35
"2011-01-10",11.36
"2011-01-11",11.3
"2011-01-12",11.265
"2011-01-13",11.27
"2011-01-14",11.36
"2011-01-18",11.39
"2011-01-19",11.55
"2011-01-20",11.63
"2011-01-21",11.765
"2011-01-24",11.8
"2011-01-25",11.67
"2011-01-26",11.66
"2011-01-27",11.655
"2011-01-28",11.42
"2011-01-31",11.375
"2011-02-01",11.7
"2011-02-02",11.535
"2011-02-03",11.605
"2011-02-04",11.635
"2011-02-07",11.77
"2011-02-08",11.83
"2011-02-09",11.765
"2011-02-10",11.89
"2011-02-11",12
"2011-02-14",11.935
"2011-02-15",12.08
"2011-02-16",12.565
"2011-02-17",12.61
"2011-02-18",12.835
"2011-02-22",12.565
"2011-02-23",12.44
"2011-02-24",12.47
"2011-02-25",12.63
"2011-02-28",12.88
"2011-03-01",12.64
"2011-03-02",12.535
"2011-03-03",12.885
"2011-03-04",12.775
"2011-03-07",12.71
"2011-03-08",12.78
"2011-03-09",12.655
"2011-03-10",12.36
"2011-03-11",12.475
"2011-03-14",12.245
"2011-03-15",12.08
"2011-03-16",11.72
"2011-03-17",12.04
"2011-03-18",11.93
"2011-03-21",12.085
"2011-03-22",12.03
"2011-03-23",12.05
"2011-03-24",12.365
"2011-03-25",12.51
"2011-03-28",12.215
"2011-03-29",12.26
"2011-03-30",12.35
"2011-03-31",12.36
"2011-04-01",12.605
"2011-04-04",12.63
"2011-04-05",12.58
"2011-04-06",12.415
"2011-04-07",12.32
"2011-04-08",12.34
"2011-04-11",12.275
"2011-04-12",12.155
"2011-04-13",12.1
"2011-04-14",12.125
"2011-04-15",12.245
"2011-04-18",11.98
"2011-04-19",12.145
"2011-04-20",12.435
"2011-04-21",12.67
"2011-04-25",12.645
"2011-04-26",12.795
"2011-04-27",12.92
"2011-04-28",13.065
"2011-04-29",13.105
"2011-05-02",13.34
"2011-05-03",13.305
"2011-05-04",12.98
"2011-05-05",12.78
"2011-05-06",12.72
"2011-05-09",12.64
"2011-05-10",12.91
"2011-05-11",12.755
"2011-05-12",12.72
"2011-05-13",12.565
"2011-05-16",12.355
"2011-05-17",12.51
"2011-05-18",12.685
"2011-05-19",12.69
"2011-05-20",12.56
"2011-05-23",12.275
"2011-05-24",12.195
"2011-05-25",12.22
"2011-05-26",12.465
"2011-05-27",12.445
"2011-05-31",12.62
"2011-06-01",12.22
"2011-06-02",12.315
"2011-06-03",12.115
"2011-06-06",11.96
"2011-06-07",12.01
"2011-06-08",12.06
"2011-06-09",12.155
"2011-06-10",11.945
"2011-06-13",11.855
"2011-06-14",11.965
"2011-06-15",11.73
"2011-06-16",11.72
"2011-06-17",11.825
"2011-06-20",11.845
"2011-06-21",12.025
"2011-06-22",11.96
"2011-06-23",11.855
"2011-06-24",11.79
"2011-06-27",12.135
"2011-06-28",12.38
"2011-06-29",12.47
"2011-06-30",12.67
"2011-07-01",12.865
"2011-07-05",12.985
"2011-07-06",12.745
"2011-07-07",12.79
"2011-07-08",12.755
